428431 	 1075 	 6249.62
428734 	 1076 	 6024.64
x 	 1077 	 x
429796 	 1078 	 1555.38
x 	 1079 	 x
429856 	 1080 	 1424.81
430309 	 1081 	 1575.43
x 	 1082 	 x
x 	 1083 	 x
x 	 1084 	 x
x 	 1085 	 x
x 	 1086 	 x
x 	 1087 	 x
x 	 1088 	 x
430444 	 1089 	 1602.91
x 	 1090 	 x
430912 	 1091 	 1055.93
430926 	 1092 	 529.929
x 	 1093 	 x
431161 	 1094 	 717.437
x 	 1095 	 x
x 	 1096 	 x
431682 	 1097 	 0
431806 	 1098 	 0
432384 	 1099 	 0
x 	 1100 	 x
432682 	 1101 	 0
433232 	 1102 	 0
433935 	 1103 	 212.015
434390 	 1104 	 208.768
434537 	 1105 	 0
x 	 1106 	 x
435702 	 1107 	 0
x 	 1108 	 x
436099 	 1109 	 0
436534 	 1110 	 0
437104 	 1111 	 0
x 	 1112 	 x
437720 	 1113 	 0
438279 	 1114 	 0
438792 	 1115 	 0
x 	 1116 	 x
439931 	 1117 	 0
440036 	 1118 	 0
x 	 1119 	 x
440531 	 1120 	 0
440764 	 1121 	 0
x 	 1122 	 x
x 	 1123 	 x
441906 	 1124 	 0
x 	 1125 	 x
x 	 1126 	 x
x 	 1127 	 x
x 	 1128 	 x
x 	 1129 	 x
x 	 1130 	 x
445662 	 1131 	 0
446262 	 1132 	 0
446862 	 1133 	 0
x 	 1134 	 x
x 	 1135 	 x
x 	 1136 	 x
x 	 1137 	 x
448458 	 1138 	 0
x 	 1139 	 x
x 	 1140 	 x
449840 	 1141 	 0
450440 	 1142 	 0
x 	 1143 	 x
451040 	 1144 	 0
451640 	 1145 	 0
x 	 1146 	 x
x 	 1147 	 x
452112 	 1148 	 0
x 	 1149 	 x
452847 	 1150 	 0
x 	 1151 	 x
453885 	 1152 	 0
x 	 1153 	 x
454170 	 1154 	 0
x 	 1155 	 x
x 	 1156 	 x
455764 	 1157 	 0
455976 	 1158 	 0
456021 	 1159 	 0
456456 	 1160 	 0
457006 	 1161 	 0
457559 	 1162 	 269.267
x 	 1163 	 x
x 	 1164 	 x
x 	 1165 	 x
459278 	 1166 	 0
459517 	 1167 	 0
459878 	 1168 	 0
462709 	 1169 	 2592.14
463054 	 1170 	 2575.87
463146 	 1171 	 2428.83
x 	 1172 	 x
463925 	 1173 	 2847.31
x 	 1174 	 x
x 	 1175 	 x
463944 	 1176 	 1312.54
464664 	 1177 	 1955.31
x 	 1178 	 x
x 	 1179 	 x
465068 	 1180 	 1143.23
x 	 1181 	 x
466420 	 1182 	 2049.76
467701 	 1183 	 2739.81
x 	 1184 	 x
467731 	 1185 	 1480.61
x 	 1186 	 x
467966 	 1187 	 767.145
x 	 1188 	 x
468270 	 1189 	 539.47
x 	 1190 	 x
468489 	 1191 	 523.294
468714 	 1192 	 444.14
x 	 1193 	 x
x 	 1194 	 x
x 	 1195 	 x
469576 	 1196 	 0
x 	 1197 	 x
471051 	 1198 	 0
x 	 1199 	 x
x 	 1200 	 x
x 	 1201 	 x
472748 	 1202 	 0
x 	 1203 	 x
473533 	 1204 	 0
