459517 	 1168 	 44.7604
459878 	 1169 	 201.919
460117 	 1170 	 77.4927
460478 	 1171 	 134.834
x 	 1172 	 x
461020 	 1173 	 0
x 	 1174 	 x
x 	 1175 	 x
462031 	 1176 	 0
462631 	 1177 	 148.237
x 	 1178 	 x
x 	 1179 	 x
463770 	 1180 	 0
x 	 1181 	 x
464361 	 1182 	 0
464672 	 1183 	 0
x 	 1184 	 x
465650 	 1185 	 0
x 	 1186 	 x
466599 	 1187 	 0
x 	 1188 	 x
467701 	 1189 	 499.724
x 	 1190 	 x
467731 	 1191 	 14.7321
468098 	 1192 	 0
x 	 1193 	 x
x 	 1194 	 x
x 	 1195 	 x
469504 	 1196 	 0
x 	 1197 	 x
470451 	 1198 	 0
x 	 1199 	 x
x 	 1200 	 x
x 	 1201 	 x
472148 	 1202 	 0
x 	 1203 	 x
472933 	 1204 	 0
473533 	 1205 	 208.909
x 	 1206 	 x
474133 	 1207 	 72.6486
x 	 1208 	 x
474980 	 1209 	 0
475452 	 1210 	 69.5748
x 	 1211 	 x
476304 	 1212 	 0
476703 	 1213 	 219.037
476943 	 1214 	 0
477314 	 1215 	 0
x 	 1216 	 x
478086 	 1217 	 0
478598 	 1218 	 0
